Country_name,Country_tier,Country_abbrev
New Zealand,1,NZ
South Africa,1,SA
England,1,Eng
Australia,1,Aust
France,1,Fra
Ireland,1,Ire
Wales,1,Wales
Argentina,1,Arg
Scotland,1,Scot
Italy,1,Italy
Georgia,2,Georg
Portugal,2,Port
Romania,2,Rom
Russia,2,Russ
Spain,2,Spain
Germany,2,Germ
Canada,2,Can
United States,2,USA
Uruguay,2,Urug
Namibia,2,Namib
Japan,2,JPN
Fiji,2,Fiji
Samoa,2,Samoa
Tonga,2,Tonga
Belgium,3,Belg
Brazil,3,Braz
Chile,3,Chile
Ivory Coast,3,
Kenya,3,Kenya
Zimbabwe,3,
Hong Kong,3,
South Korea,3,
Andorra,3,
Armenia,3,
Austria,3,
Azerbaijan,3,
Bahamas,3,
Bahrain,3,
Barbados,3,
Bermuda,3,
Bosnia and Herzegovina,3,
Botswana,3,
British Virgin Islands,3,
Bulgaria,3,
Burundi,3,
Cambodia,3,
Cameroon,3,
Cayman Islands,3,
China,3,
Chinese Taipei,3,
Colombia,3,
Costa Rica,3,
Croatia,3,
Czech Republic,3,Czech
Denmark,3,
Ecuador,3,
Egypt,3,
Finland,3,
Greece,3,
Ghana,3,
Guam,3,
Guatemala,3,
Guyana,3,
Honduras,3,
Hungary,3,
India,3,
Indonesia,3,
Israel,3,
Jamaica,3,
Egypt,3,
Kazakhstan,3,Kazak
Kyrgyzstan,3,
Laos,3,
Latvia,3,
Lebanon,3,
Lithuania,3,
Luxembourg,3,
Madagascar,3,
Malaysia,3,
Mali,3,
Malta,3,
Montenegro,3,
Mauritania,3,
Mauritius,3,
Mexico,3,
Moldova,3,
Monaco,3,
Mongolia,3,
Morocco,3,
Netherlands,3,
Nigeria,3,
Norway,3,
Pakistan,3,
Paraguay,3,
Peru,3,
Philippines,3,Phil
Poland,3,
Qatar,3,
Rwanda,3,
Senegal,3,
Serbia,3,
Singapore,3,Sing
Slovenia,3,
Sri Lanka,3,SL
Saint Lucia,3,
Saint Vincent and the Grenadines,3,
Swaziland,3,
Sweden,3,
Switzerland,3,
Tanzania,3,
Thailand,3,
Togo,3,
Tunisia,3,
Trinidad and Tobago,3,
Uganda,3,
Ukraine,3,Ukr
United Arab Emirates,3,UAE
Uzbekistan,3,
Venezuela,3,
Zambia,3,
