"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier","points_tries","points_convs","points_pens","points_drops"
"1",16,"JPN",0,"Sri Lanka",0,"A Goromaru",37,"FB","won",1,"2","3",5,32,0,0
"2",14,"JPN",0,"Philippines",1,"A Goromaru",36,"FB","won",1,"2","3",5,28,3,0
"3",9,"Kenya",0,"Tunisia",1,"D Mukidza Kinyangi",36,"W","won",3,"3","3",15,18,3,0
"4",11,"Georg",0,"Germany",0,"M Kvirikashvili",32,"FB","won",2,"2","2",10,22,0,0
"5",11,"JPN",0,"Kazakhstan",0,"A Goromaru",32,"FB","won",2,"2","3",10,22,0,0
"6",11,"Urug",0,"Paraguay",0,"JJ Etcheverry Cavanna",32,"W","won",2,"2","3",10,22,0,0
"7",4,"Urug",0,"Chile",6,"M Arocena",31,"FH","won",1,"2","3",5,8,18,0
"8",1,"SA",0,"New Zealand",8,"M Steyn",31,"FH","won",1,"1","1",5,2,24,0
"9",3,"Arg",0,"France",5,"F Contepomi",31,"FH","won",2,"1","1",10,6,15,0
"10",10,"Samoa",0,"PNG",0,"GL Williams",30,"C","won",2,"2","3",10,20,0,0
"11",0,"JPN",0,"UAE",0,"Y Fujita",30,"W","won",6,"2","3",30,0,0,0
"12",10,"JPN",0,"UAE",0,"A Goromaru",30,"FB","won",2,"2","3",10,20,0,0
"13",0,"Arg",0,"Brazil",0,"F Barrea",30,"W","won",6,"1","3",30,0,0,0
"14",5,"Namib",0,"Cote d'Iv",3,"CA Botha",29,"FB","won",2,"2","3",10,10,9,0
"15",6,"Aust",0,"France",4,"JD O'Connor",29,"W","won",1,"1","1",5,12,12,0
"16",12,"JPN",0,"UAE",0,"JA Arlidge",29,"FH","won",1,"2","3",5,24,0,0
"17",12,"JPN",0,"Philippines",0,"A Goromaru",29,"FB","won",1,"2","3",5,24,0,0
"18",5,"Arg",0,"Japan",3,"FN Sanchez",29,"FH","won",2,"1","2",10,10,9,0
"19",9,"JPN",0,"Kazakhstan",0,"SJ Webb",28,"FH","won",2,"2","3",10,18,0,0
"20",10,"Germ",1,"Sweden",0,"R Parkinson",28,"FH","won",1,"2","3",5,20,0,3
"21",8,"SA",0,"Argentina",4,"M Steyn",28,"FH","won",0,"1","1",0,16,12,0
"22",3,"Aust",0,"England",4,"BT Foley",28,"FH","won",2,"1","1",10,6,12,0
"23",11,"JPN",0,"Kazakhstan",0,"SJ Webb",27,"FH","won",1,"2","3",5,22,0,0
"24",4,"NZ",0,"Wales",3,"DW Carter",27,"FH","won",2,"1","1",10,8,9,0
"25",4,"Can",0,"Portugal",3,"J Pritchard",27,"FB","won",2,"2","2",10,8,9,0
"26",5,"SA",0,"Italy",2,"M Steyn",26,"FH","won",2,"1","1",10,10,6,0
"27",5,"Kenya",0,"Tunisia",2,"F Olando Ogutu",26,"C","won",2,"3","3",10,10,6,0
"28",3,"Scot",0,"Samoa",5,"GD Laidlaw",26,"SH","won",1,"1","2",5,6,15,0
"29",5,"Can",0,"Russia",2,"GA McRorie",26,"SH","won",2,"2","2",10,10,6,0
"30",5,"NZ",0,"Wales",2,"BJ Barrett",26,"FH","won",2,"1","1",10,10,6,0
"31",7,"Eng",0,"Scotland",4,"OA Farrell",26,"C","won",0,"1","1",0,14,12,0
"32",0,"JPN",0,"Korea",0,"K Endo",25,"W","won",5,"2","3",25,0,0,0
"33",2,"Eng",0,"Australia",7,"TGAL Flood",25,"FH","won",0,"1","1",0,4,21,0
"34",0,"JPN",0,"Sri Lanka",0,"A Tupuailei",25,"C","won",5,"2","3",25,0,0,0
"35",10,"Arg",0,"Chile",0,"PF Fernandez Fiant",25,"FH","won",1,"1","3",5,20,0,0
"36",7,"Eng",0,"France",2,"GT Ford",25,"FH","won",1,"1","1",5,14,6,0
"37",4,"Namib",0,"Russia",4,"TAW Kotze",25,"FH","won",1,"2","2",5,8,12,0
"38",4,"Arg",0,"Tonga",4,"FN Sanchez",25,"FH","won",1,"1","2",5,8,12,0
"39",0,"JPN",0,"Korea",0,"K Kodama",25,"W","won",5,"2","3",25,0,0,0
"40",8,"Rom",1,"Czech Rep",0,"FA Vlaicu",24,"FB","won",1,"2","3",5,16,0,3
"41",7,"JPN",0,"Korea",0,"RT Nicholas",24,"C","won",2,"2","3",10,14,0,0
"42",0,"SA",1,"Australia",7,"M Steyn",24,"FH","won",0,"1","1",0,0,21,3
"43",0,"Scot",2,"Argentina",6,"DA Parks",24,"FH","won",0,"1","1",0,0,18,6
"44",3,"SA",0,"Australia",6,"M Steyn",24,"FH","lost",0,"1","1",0,6,18,0
"45",0,"Italy",0,"Fiji",8,"M Bergamasco",24,"W","won",0,"1","2",0,0,24,0
"46",3,"Fra",1,"Argentina",5,"F Michalak",24,"FH","won",0,"1","1",0,6,15,3
"47",2,"Rom",0,"Russia",5,"FA Vlaicu",24,"C","won",1,"2","2",5,4,15,0
"48",0,"Arg",0,"Georgia",8,"MJ Bustos Moyano",24,"FB","won",0,"1","2",0,0,24,0
"49",2,"Georg",0,"Portugal",5,"M Kvirikashvili",24,"FB","won",1,"2","2",5,4,15,0
