conv,country,drop_kicks,opposition,penalties,player,points,position,result,tries
16,JPN,0,Sri Lanka,0,A Goromaru,37,FB,won,1
14,JPN,0,Philippines,1,A Goromaru,36,FB,won,1
9,Kenya,0,Tunisia,1,D Mukidza Kinyangi,36,W,won,3
11,Georg,0,Germany,0,M Kvirikashvili,32,FB,won,2
11,JPN,0,Kazakhstan,0,A Goromaru,32,FB,won,2
11,Urug,0,Paraguay,0,JJ Etcheverry Cavanna,32,W,won,2
4,Urug,0,Chile,6,M Arocena,31,FH,won,1
1,SA,0,New Zealand,8,M Steyn,31,FH,won,1
3,Arg,0,France,5,F Contepomi,31,FH,won,2
10,Samoa,0,PNG,0,GL Williams,30,C,won,2
0,JPN,0,UAE,0,Y Fujita,30,W,won,6
10,JPN,0,UAE,0,A Goromaru,30,FB,won,2
0,Arg,0,Brazil,0,F Barrea,30,W,won,6
5,Namib,0,Cote d'Iv,3,CA Botha,29,FB,won,2
6,Aust,0,France,4,JD O'Connor,29,W,won,1
12,JPN,0,UAE,0,JA Arlidge,29,FH,won,1
12,JPN,0,Philippines,0,A Goromaru,29,FB,won,1
5,Arg,0,Japan,3,FN Sanchez,29,FH,won,2
9,JPN,0,Kazakhstan,0,SJ Webb,28,FH,won,2
10,Germ,1,Sweden,0,R Parkinson,28,FH,won,1
8,SA,0,Argentina,4,M Steyn,28,FH,won,0
3,Aust,0,England,4,BT Foley,28,FH,won,2
11,JPN,0,Kazakhstan,0,SJ Webb,27,FH,won,1
4,NZ,0,Wales,3,DW Carter,27,FH,won,2
4,Can,0,Portugal,3,J Pritchard,27,FB,won,2
5,SA,0,Italy,2,M Steyn,26,FH,won,2
5,Kenya,0,Tunisia,2,F Olando Ogutu,26,C,won,2
3,Scot,0,Samoa,5,GD Laidlaw,26,SH,won,1
5,Can,0,Russia,2,GA McRorie,26,SH,won,2
5,NZ,0,Wales,2,BJ Barrett,26,FH,won,2
7,Eng,0,Scotland,4,OA Farrell,26,C,won,0
0,JPN,0,Korea,0,K Endo,25,W,won,5
2,Eng,0,Australia,7,TGAL Flood,25,FH,won,0
0,JPN,0,Sri Lanka,0,A Tupuailei,25,C,won,5
10,Arg,0,Chile,0,PF Fernandez Fiant,25,FH,won,1
7,Eng,0,France,2,GT Ford,25,FH,won,1
4,Namib,0,Russia,4,TAW Kotze,25,FH,won,1
4,Arg,0,Tonga,4,FN Sanchez,25,FH,won,1
0,JPN,0,Korea,0,K Kodama,25,W,won,5
8,Rom,1,Czech Rep,0,FA Vlaicu,24,FB,won,1
7,JPN,0,Korea,0,RT Nicholas,24,C,won,2
0,SA,1,Australia,7,M Steyn,24,FH,won,0
0,Scot,2,Argentina,6,DA Parks,24,FH,won,0
3,SA,0,Australia,6,M Steyn,24,FH,lost,0
0,Italy,0,Fiji,8,M Bergamasco,24,W,won,0
3,Fra,1,Argentina,5,F Michalak,24,FH,won,0
2,Rom,0,Russia,5,FA Vlaicu,24,C,won,1
0,Arg,0,Georgia,8,MJ Bustos Moyano,24,FB,won,0
2,Georg,0,Portugal,5,M Kvirikashvili,24,FB,won,1
12,Namib,0,Madagascar,0,TAW Kotze,24,FH,won,0
2,JPN,0,South Africa,5,A Goromaru,24,FB,won,1
7,Spain,0,Chile,0,BD Linklater,24,FH,won,2
3,Eng,0,Australia,6,OA Farrell,24,FH,won,0
3,Eng,0,Australia,6,OA Farrell,24,C,won,0
7,NZ,0,Samoa,0,BJ Barrett,24,FH,won,2
4,SA,0,Wales,5,AD James,23,FH,won,0
1,NZ,1,South Africa,6,DW Carter,23,FH,lost,0
2,Arg,0,Uruguay,3,S Gonzalez Iglesias,23,FH,won,2
3,Russ,0,Spain,4,Y Kushnarev,23,FH,won,1
3,Spain,0,Namibia,4,M Peluchon Carrero,23,FB,won,1
9,NZ,0,Japan,0,CR Slade,23,FH,won,1
4,Fra,0,Canada,5,MRJ Parra,23,SH,won,0
1,Port,0,Chile,7,PMDC Leal,23,FH,won,0
1,Wales,0,Scotland,7,SL Halfpenny,23,FB,won,0
3,Can,0,Tonga,4,J Pritchard,23,FB,won,1
3,NZ,0,Australia,4,AW Cruden,23,FH,won,1
9,Arg,0,Chile,0,FN Sanchez,23,FH,won,1
3,USA,0,Canada,4,CT Wyles,23,FB,won,1
1,Wales,0,England,7,DR Biggar,23,FH,won,0
4,Arg,0,Ireland,5,FN Sanchez,23,FH,won,0
3,Eng,0,Argentina,4,GT Ford,23,FH,won,1
4,Kenya,0,Senegal,0,D Mukidza Kinyangi,23,W,won,3
4,Port,3,Czech Rep,0,PPDC Cabral,22,FB,won,1
4,NZ,0,England,3,DW Carter,22,FH,won,1
4,NZ,0,England,3,DW Carter,22,FH,won,1
2,Wales,0,Canada,6,DR Biggar,22,FH,won,0
2,Eng,2,Argentina,4,AJ Goode,22,FH,won,0
1,Aust,0,France,5,MJ Giteau,22,FH,won,1
2,NZ,0,Australia,6,DW Carter,22,FH,won,0
